                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.72689,                0.47256,                 1.1266,                0.83943,                0.83258,                0.85646,                0.67055,                0.80592,                0.63225,                 1.1597,              0.0072775,              0.0072775,              0.0072775
                     57,                0.69706,                0.45919,                 1.1126,                 0.8787,                 0.8371,                0.89055,                0.70024,                0.74387,                 0.5415,                 1.1009,               0.007228,               0.007228,               0.007228
                     58,                0.70189,                0.45165,                  1.112,                0.92081,                0.80995,                0.88546,                0.69996,                0.83738,                0.61194,                 1.1636,              0.0071785,              0.0071785,              0.0071785
                     59,                0.69725,                0.45318,                 1.1273,                0.94115,                0.79638,                0.87991,                0.71045,                0.75271,                0.60943,                 1.1059,               0.007129,               0.007129,               0.007129
                     60,                0.69351,                0.45101,                 1.0985,                0.92787,                0.79638,                0.87639,                0.69413,                0.75398,                 0.5712,                 1.1257,              0.0070795,              0.0070795,              0.0070795
                     61,                 0.7018,                0.45158,                 1.1044,                0.83074,                0.82805,                0.85833,                0.69376,                0.71265,                0.60716,                  1.068,                0.00703,                0.00703,                0.00703
                     62,                 0.7079,                0.45277,                 1.1205,                0.93926,                0.76964,                0.87589,                0.71025,                0.71754,                0.60938,                 1.0747,              0.0069805,              0.0069805,              0.0069805
                     63,                0.68185,                0.44742,                 1.1058,                0.93136,                0.80543,                0.88471,                0.71091,                0.72261,                0.57742,                 1.0933,               0.006931,               0.006931,               0.006931
                     64,                0.71038,                0.45532,                 1.1136,                0.92989,                0.79638,                0.87638,                0.69671,                 0.7772,                0.60441,                 1.1119,              0.0068815,              0.0068815,              0.0068815
                     65,                0.69853,                0.44664,                 1.1041,                0.89398,                0.82805,                0.88247,                0.72133,                0.71634,                0.56474,                 1.0923,               0.006832,               0.006832,               0.006832
                     66,                0.68963,                0.43398,                 1.1021,                 0.8671,                0.80543,                0.88093,                0.71613,                0.74005,                0.55823,                 1.1007,              0.0067825,              0.0067825,              0.0067825
                     67,                0.65915,                0.43461,                 1.0881,                0.87888,                0.85372,                0.89416,                0.72398,                0.87068,                0.61751,                 1.1755,               0.006733,               0.006733,               0.006733
                     68,                0.66842,                0.41929,                  1.107,                0.90166,                0.83258,                0.87129,                0.70844,                0.74121,                0.62867,                 1.0827,              0.0066835,              0.0066835,              0.0066835
                     69,                0.64879,                0.42254,                  1.071,                0.90498,                0.79638,                0.86306,                0.70358,                0.66574,                0.56793,                 1.0463,               0.006634,               0.006634,               0.006634
                     70,                0.66683,                 0.4242,                 1.0977,                0.88298,                0.80543,                 0.8566,                0.68943,                0.69397,                0.61608,                 1.0804,              0.0065845,              0.0065845,              0.0065845
